what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1415194961751
error,log,,,"Core exception while retrieving the content description",1415194961755
error,log,,,"Core exception while retrieving the content description",1415194961759
error,log,,,"Core exception while retrieving the content description",1415194961764
error,log,,,"Core exception while retrieving the content description",1415194961767
error,log,,,"Core exception while retrieving the content description",1415194961772
error,log,,,"Core exception while retrieving the content description",1415194961775
error,log,,,"Core exception while retrieving the content description",1415194961779
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415194983177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415194997006
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415195000001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415195026479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415195059294
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415195061886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415195064723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415195065896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415195088595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415195094521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415195095471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415195187574
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415195202746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415195296781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415195432153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415195436302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415195479560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415195486041
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415195491319
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415195518265
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415195518710
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415195547514
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195551852
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195552030
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415195582925
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195582925
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415195588099
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195588348
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415195603605
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195603867
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195603980
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195629265
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415195632305
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415195648613
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195651860
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195725481
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195770813
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415195782318
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415195782517
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415195805334
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415195811679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415196139771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243717855
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415243723123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243727308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243733925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243763011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243771411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243771431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243775071
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415243775125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243776896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243781041
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415243783587
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415243915545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243920539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243922312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1415243930372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243933352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243944230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415243944738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415245414929
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415245419836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415245419946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415245421490
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415245421685
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415245447050
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1415245466808
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415245476349
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415245515049
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415245831050
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415245883538
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415245912529
error,log,,,"Core exception while retrieving the content description",1415245913349
error,log,,,"Core exception while retrieving the content description",1415245913353
error,log,,,"Core exception while retrieving the content description",1415245913359
error,log,,,"Core exception while retrieving the content description",1415245913363
error,log,,,"Core exception while retrieving the content description",1415245913366
error,log,,,"Core exception while retrieving the content description",1415245913374
error,log,,,"Core exception while retrieving the content description",1415245913379
error,log,,,"Core exception while retrieving the content description",1415245913387
error,log,,,"Core exception while retrieving the content description",1415245913391
error,log,,,"Core exception while retrieving the content description",1415245913395
error,log,,,"Core exception while retrieving the content description",1415245913491
error,log,,,"Core exception while retrieving the content description",1415245913494
error,log,,,"Core exception while retrieving the content description",1415245913498
error,log,,,"Core exception while retrieving the content description",1415245913505
error,log,,,"Core exception while retrieving the content description",1415245913509
error,log,,,"Core exception while retrieving the content description",1415245913514
error,log,,,"Core exception while retrieving the content description",1415245913524
error,log,,,"Core exception while retrieving the content description",1415245913530
error,log,,,"Core exception while retrieving the content description",1415245913534
error,log,,,"Core exception while retrieving the content description",1415245913538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415245915284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415245916461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415245917034
error,log,,,"Core exception while retrieving the content description",1415245924058
error,log,,,"Core exception while retrieving the content description",1415245924062
error,log,,,"Core exception while retrieving the content description",1415245924069
error,log,,,"Core exception while retrieving the content description",1415245924073
error,log,,,"Core exception while retrieving the content description",1415245924076
error,log,,,"Core exception while retrieving the content description",1415245924083
error,log,,,"Core exception while retrieving the content description",1415245924086
error,log,,,"Core exception while retrieving the content description",1415245924094
error,log,,,"Core exception while retrieving the content description",1415245924097
error,log,,,"Core exception while retrieving the content description",1415245924101
error,log,,,"Core exception while retrieving the content description",1415245924181
error,log,,,"Core exception while retrieving the content description",1415245924185
error,log,,,"Core exception while retrieving the content description",1415245924189
error,log,,,"Core exception while retrieving the content description",1415245924193
error,log,,,"Core exception while retrieving the content description",1415245924197
error,log,,,"Core exception while retrieving the content description",1415245924203
error,log,,,"Core exception while retrieving the content description",1415245924206
error,log,,,"Core exception while retrieving the content description",1415245924211
error,log,,,"Core exception while retrieving the content description",1415245924215
error,log,,,"Core exception while retrieving the content description",1415245924220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415245924318
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415245946297
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415245958692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415245999187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415246464152
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415246468140
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246469788
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1415246469788
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246473675
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246475320
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415246509794
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246515854
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246516078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415246520729
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246521020
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246521191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1415246525099
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246548144
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246549929
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246565844
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246613487
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246613488
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246744002
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415246744002
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1415246777953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415246780921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415246784228
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1415246784315
error,log,,,"Core exception while retrieving the content description",1415246785118
error,log,,,"Core exception while retrieving the content description",1415246785122
error,log,,,"Core exception while retrieving the content description",1415246785129
error,log,,,"Core exception while retrieving the content description",1415246785132
error,log,,,"Core exception while retrieving the content description",1415246785136
error,log,,,"Core exception while retrieving the content description",1415246785143
error,log,,,"Core exception while retrieving the content description",1415246785147
error,log,,,"Core exception while retrieving the content description",1415246785155
error,log,,,"Core exception while retrieving the content description",1415246785158
error,log,,,"Core exception while retrieving the content description",1415246785161
error,log,,,"Core exception while retrieving the content description",1415246785236
error,log,,,"Core exception while retrieving the content description",1415246785240
error,log,,,"Core exception while retrieving the content description",1415246785243
error,log,,,"Core exception while retrieving the content description",1415246785247
error,log,,,"Core exception while retrieving the content description",1415246785251
