version 1.000000
type 1
element vertex 35947
vertex: -0.0378297 0.12794 0.00447467
vertex: -0.0447794 0.128887 0.00190497
vertex: -0.0680095 0.151244 0.0371953
vertex: -0.00228741 0.13015 0.0232201
vertex: -0.0226054 0.126675 0.00715587
vertex: -0.0251078 0.125921 0.00624226
vertex: -0.0371209 0.127449 0.0017956
vertex: 0.033213 0.112692 0.0276861
vertex: 0.0380425 0.109755 0.0161689
vertex: -0.0255083 0.112568 0.0366767
vertex: -0.0245306 0.112636 0.0373469
vertex: 0.0274031 0.12156 0.0212208
vertex: -0.0628961 0.158419 -0.0175871
vertex: 0.0400813 0.104202 0.0221684
vertex: 0.0451532 0.0931968 0.0111604
vertex: -0.0324965 0.174231 -0.00238999
vertex: -0.0804587 0.135827 0.0500319
vertex: -0.0724944 0.126022 0.052902
vertex: -0.0804375 0.137229 0.0490949
vertex: 0.00799809 0.131294 0.0169006
vertex: 0.0400265 0.10701 0.00816505
vertex: 0.0371657 0.0997172 -0.00981258
vertex: -0.0905968 0.140629 0.0221693
vertex: -0.0843417 0.109004 0.0243603
vertex: -0.0688709 0.156258 0.0147705
vertex: -0.0844782 0.152284 0.0269844
vertex: 0.00536718 0.125777 0.0317922
vertex: 0.00893209 0.124393 0.0330753
vertex: -0.0315414 0.125778 0.00387502
vertex: -0.049674 0.141672 0.0123895
vertex: -0.0784825 0.135851 0.0506454
vertex: -0.00425882 0.128035 0.0283342
vertex: -0.0454789 0.123431 0.0251209
vertex: -0.0235385 0.11268 0.0379979
vertex: -0.0790203 0.0935614 -0.0105962
vertex: 0.0235742 0.124212 0.0226421
vertex: -0.0902127 0.122664 0.0052855
vertex: 0.0403742 0.101353 -0.00282827
vertex: 0.041224 0.101389 -0.000814438
vertex: -0.0859766 0.117044 0.000228439
vertex: -0.0499053 0.141681 0.0133989
vertex: -0.0325018 0.177105 -0.00443384
vertex: -0.0774954 0.147028 0.0416906
vertex: 0.0240312 0.1242 0.0213823
vertex: -0.0225205 0.112681 0.0384786
vertex: -0.0202018 0.177138 -0.0227808
vertex: -0.0381912 0.168168 -0.0127822
vertex: -0.0214993 0.112665 0.0388138
vertex: -0.0322365 0.126297 0.00653811
vertex: -0.0303734 0.125779 0.00722581
vertex: 0.0104221 0.127848 0.0278469
vertex: -0.0463671 0.133058 0.0160254
vertex: -0.0263079 0.125672 0.00579971
vertex: -0.0238556 0.126292 0.00669874
vertex: 0.0174667 0.122816 0.0304302
vertex: 0.0184111 0.122524 0.0307587
vertex: 0.0166382 0.123302 0.0301317
vertex: 0.0337656 0.111689 0.027893
vertex: 0.0320484 0.11465 0.0272407
vertex: -0.0405044 0.166738 0.00354035
vertex: -0.0891386 0.129503 0.00423129
vertex: -0.0537547 0.143134 0.0264016
vertex: 0.0429765 0.0987175 0.0181666
vertex: 0.042638 0.101488 0.0111603
vertex: 0.040945 0.0957511 0.0281635
vertex: -0.055076 0.154226 0.0167194
vertex: -0.0246921 0.156571 -0.00408158
vertex: -0.0685096 0.147001 0.0412847
vertex: -0.0715343 0.141411 0.0464325
vertex: -0.0700345 0.0631474 0.0200567
vertex: -0.0904383 0.119966 0.00529664
vertex: -0.0754938 0.127441 0.0530403
vertex: -0.0395371 0.165252 0.00310729
vertex: -0.0405211 0.16525 0.00379284
vertex: -0.0644897 0.161538 -0.0184978
vertex: -0.0343115 0.126654 0.00282732
vertex: -0.0460392 0.132757 0.0146796
vertex: -0.0682754 0.155222 0.00480981
vertex: -0.0921421 0.116123 0.0383102
vertex: 0.00630024 0.125509 0.0321214
vertex: 0.00717458 0.125139 0.032446
vertex: 0.00805559 0.124767 0.0327601
